ID	Название (EN)	Название (RU)	Категория	Домен/Подкатегория	Подтип	Код подтипа	Формулировка	Механизм нарушения	Пример	Связанные ошибки	Диагностический вопрос	Психологический источник	Статус	Источник (Texas ID)	Вторичный код (Кат.3)
2.5.2.6	Scapegoating / Blamecasting	Козёл отпущения / Перекладывание вины	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	Когда что-то идёт не так, всегда есть кто-то другой, на кого возложить вину	Ложная причинность: вина приписывается не реальному источнику, а удобной цели. Включает «обвинение жертвы».	«Во всех сбоях виноват новый отдел!»; «Сам виноват, что тебя обманули»	2.5.2, Affective Fallacy	Обвиняемый — реальная причина или удобная цель?	Deflection, othering	Черновик	Scapegoating	
2.5.2.7	Trust your Gut / Emotional Reasoning	Доверяй интуиции / Эмоциональное рассуждение	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	Опора на «чутьё» вместо разума или доказательств	Ложное основание: «я чувствую» ≠ «это так». Те, кто доверяет чутью, более восприимчивы к fake news.	«Сердце подсказывает»; «Я чувствую, что это правда» — без проверки	2.6.4.3, Affective Fallacy	Есть ли у чутья доказательная база?	Intuition bias, cognitive ease	→ Категория 5	Trust your Gut	
2.5.3.1	Excluded Middle	Исключённая середина / «Больше — лучше»	2 - Домены	2.5 Вывод	Цепочечная ошибка	2.5.3	Если немного X хорошо, то много X ещё лучше (или если меньше X хорошо, то ноль X идеально)	Экстраполяция без обоснования: связь «немного → хорошо» не распространяется линейно. Игнорируется нелинейность, точки насыщения, побочные эффекты.	«Если яблоко в день полезно, то диета только из яблок ещё полезнее!»	2.5.3, 2.3.6.1	Является ли зависимость линейной? Есть ли точка насыщения или обратного эффекта?	Линейное мышление, упрощение	Черновик	Excluded Middle	
2.5.3.2	Slippery Slope / Domino Theory	Скользкий склон / Теория домино	2 - Домены	2.5 Вывод	Цепочечная ошибка	2.5.3	«Одно неизбежно ведёт к другому» — цепочка без обоснования звеньев	Цепочка не обоснована: каждый переход требует доказательства, но выдаётся за неизбежность.	«Разрешишь телефон за ужином → забросит учёбу → останется без работы» — каждое звено выдано за неизбежное	2.5.3.1, 2.5.2	Обосновано ли каждое звено цепи?	Catastrophizing, fear	Черновик	Slippery Slope	
2.5.4.1	Argument from Consequences	Аргумент от последствий	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Утверждение не может быть истинным, потому что если бы было — последствия были бы неприемлемы	Вывод об истинности делается из нежелательности последствий. Но желательность/нежелательность последствий не влияет на истинность посылок. «Мне не нравится вывод» ≠ «посылка ложна».	«Диагноз не может быть верным — иначе придётся перестраивать всю жизнь»	4.2	Влияет ли нежелательность последствий на истинность утверждения?	Когнитивный диссонанс, избегание тревоги	→ Категория 5	Argument from Consequences	
2.5.4.10	Worst-Case Fallacy / Just in Case	Ошибка худшего случая	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Рассуждение на основе маловероятного худшего сценария	Вывод из нереалистичной посылки: худший сценарий принимается за вероятный.	«А если метеорит в склад? Готовимся ко всему разом!»	1.B.3.5, 2.5.2.4	Насколько реалистичен «худший случай»?	Catastrophizing, fear	Черновик	Worst-Case Fallacy	
2.5.4.2	Argument from Ignorance	Аргумент от незнания	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Раз мы не можем доказать/опровергнуть X, значит X ложно/истинно	Отсутствие доказательства принимается за доказательство отсутствия (или наоборот). Вывод превышает основание: из «не знаем» не следует ни «да», ни «нет».	«Никто не доказал, что чудовища в озере нет. Значит, оно есть!»	2.2.3, 3.2.1	Следует ли из «мы не знаем X» какой-либо определённый вывод о X?	Непереносимость неопределённости	Черновик	Argument from Ignorance	
2.5.4.3	Argumentum ex Silentio	Аргумент от молчания	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Молчание источников или отсутствие данных само по себе доказывает истинность утверждения	Вывод превышает основание: из отсутствия информации делается положительный вывод. «Источники молчат о X» ≠ «X истинно/ложно». Молчание не является доказательством.	«Он не может сказать, где был вечером. Значит, витрину разбил он!» — молчание прочитано как улика	2.5.4.2	Является ли молчание/отсутствие данных доказательством чего-либо?	Непереносимость неопределённости, confirmation bias	→ Категория 5	Argumentum ex Silentio	
2.5.4.4	Draw Your Own Conclusion Fallacy	Ошибка «Сделай вывод сам»	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Представление отобранных «шокирующих фактов» с приглашением аудитории «сделать выводы самостоятельно»	Вывод формально не делается, но провоцируется. Данные подобраны так, чтобы вывод казался «очевидным». Аудитория делает вывод, превышающий основание, но чувствует его «своим».	«Тот отдел снова сорвал сроки — выводы делайте сами»	2.1.3, 1.A.2	Какой вывод меня подталкивают сделать? Достаточно ли данных для этого вывода?	Иллюзия самостоятельного открытия	Черновик	Draw Your Own Conclusion	
2.5.4.5	Hoyle's Fallacy	Ошибка Хойла	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Событие с низкой вероятностью не могло произойти / никогда не произойдёт в реальности	Вывод превышает основание: из «очень маловероятно» не следует «невозможно». Низкая вероятность ≠ нулевая. При достаточном времени маловероятные события случаются.	«Вероятность такой раздачи карт ничтожна — колода подстроена!» — а какая-то раздача выпадает всегда	2.6.4.1, 2.5.4.2	Следует ли из низкой вероятности невозможность? Сколько было попыток/времени?	Непонимание вероятности	Черновик	Hoyle's Fallacy	
2.5.4.6	Overgeneralization / Hasty Generalization	Сверхобобщение / Поспешное обобщение	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Широкое обобщение отклоняет частные случаи; или единичные примеры распространяются на всё	Вывод превышает основания: из общего не следует игнорирование частного; из частного не следует целое. Включает Pars pro Toto.	«Один курьер опоздал — все курьеры ненадёжны»; три первых лебедя белы — «все лебеди белы»	2.5.4, Zero Tolerance	Оправдано ли обобщение? Не теряется ли важная специфика?	Cognitive shortcuts, stereotyping	Черновик	Overgeneralization	3.3 (пропуск Д4)
2.5.4.7	Silent Majority Fallacy	Ошибка «молчаливого большинства»	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Претензия на знание о скрытом «молчаливом большинстве» вопреки опросам	Вывод без оснований: «молчаливое большинство» постулируется без доказательств. Вариант Argument from Ignorance.	«За меня — все, кто молчит: их большинство»; лидер как «голос безголосых»	2.5.4.2, 2.5.4	Есть ли доказательства существования этого «большинства»?	Wishful thinking, false consensus	Черновик	Silent Majority Fallacy	
2.5.4.8	Where There's Smoke, There's Fire	«Нет дыма без огня»	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Поспешный вывод или действие без достаточных доказательств	Вывод превышает основания: из слабых признаков делается сильный вывод. «Похоже» ≠ «является».	«Про него ходят слухи — что-то в них наверняка есть»	2.6.1.6, Just in Case	Достаточно ли доказательств для вывода?	Jumping to conclusions, prejudice	Черновик	Where There's Smoke	3.3 (пропуск Д2-Д4)
2.5.4.9	Wisdom of the Crowd / Wikipedia Fallacy	Мудрость толпы	2 - Домены	2.5 Вывод	Масштабная ошибка / превышение оснований	2.5.4	Индивиды ошибаются, но «толпа» или «рынок» непогрешимы	Ложное основание: агрегация мнений ≠ истина. Толпа сжигала ведьм, рынок рухнул в 2008.	«Рынок всегда прав»; доверие Википедии как последней инстанции	Bandwagon, 2.5.4	Гарантирует ли массовое согласие истинность?	Social proof, diffusion of responsibility	Черновик	Wisdom of the Crowd	
2.6.1.1	Appeal to Closure	Апелляция к завершённости	2 - Домены	2.6 Рефлексия	Иллюзия завершённости	2.6.1	Требование принять вывод, чтобы «закрыть вопрос», отказ признать, что некоторые вопросы могут оставаться открытыми	Рефлексия должна признавать границы и открытые вопросы. Требование «closure» закрывает рефлексию насильственно: вывод объявляется окончательным не потому, что обоснован, а потому что «нужна определённость».	«Нужно окончательное решение — люди устали от вопроса»: завершённость вместо разбора по существу	2.6.1	Является ли «потребность в closure» логическим основанием для вывода? Может ли вопрос оставаться открытым?	Непереносимость неопределённости	Черновик	Appeal to Closure	
2.6.1.2	Default Bias	Ошибка статуса-кво / Нормализация	2 - Домены	2.6 Рефлексия	Иллюзия завершённости	2.6.1	Автоматическое принятие существующего положения как правильного; любая альтернатива объявляется невозможной	Рефлексия закрыта: текущее состояние принимается за окончательное и единственно возможное. «Так есть = так должно быть = так только и может быть».	«Это есть как есть»; «Лучше знакомый чёрт, чем незнакомый»; «Если не сломано — не чини»	2.3.5.4, 2.6.3.1	Принимаю ли я это потому, что это лучший вариант, или потому, что это текущий вариант?	Status quo bias, избегание усилий	Черновик	Default Bias	
2.6.1.3	Essentializing	Эссенциализация / «По природе»	2 - Домены	2.6 Рефлексия	Иллюзия завершённости	2.6.1	Утверждение, что нечто «есть то, что есть» по своей сути и не может измениться	Рефлексия закрыта: текущее состояние объявляется неизменной «сущностью» или «природой». Изменение объявляется невозможным a priori. Неопровергаемое утверждение.	«Он лентяй по природе — не изменится»; «опоздун — это диагноз»	2.6.1.2, 2.3.5.3	Является ли это неизменной «сущностью» или текущим состоянием, способным измениться?	Когнитивная простота, фундаментальная ошибка атрибуции	Черновик	Essentializing	
2.6.1.4	Law of Unintended Consequences	«Закон непредвиденных последствий»	2 - Домены	2.6 Рефлексия	Иллюзия завершённости	2.6.1	Поскольку мы не можем предвидеть всё, любые попытки улучшить мир обречены на провал	Рефлексия закрыта пессимизмом: «всё равно не получится» как универсальный вывод. Неопределённость возводится в абсолют.	«Каждая революция пожирает своих детей» — как аргумент против любых реформ	TINA, 2.6.1.2	Является ли неопределённость аргументом против действия?	Пессимизм, выученная беспомощность	Черновик	Law of Unintended Consequences	
2.6.1.5	Nothing New Under the Sun	«Ничто не ново под солнцем»	2 - Домены	2.6 Рефлексия	Иллюзия завершённости	2.6.1	Любое утверждение о «новом» априори отвергается — всё это уже было	Рефлексия закрыта цинизмом: новое сводится к старому без анализа. Ложный униформитаризм.	«Либертарианство — разогретый анархизм, он же древняя ересь. Ничто не ново»	2.6.1.4, 2.3.5.6	Действительно ли это «то же самое»? Или есть существенные отличия?	Цинизм, intellectual fatigue	Черновик	Nothing New Under the Sun	
2.6.1.6	Paralysis of Analysis / Nirvana Fallacy	Паралич анализа / Ошибка нирваны	2 - Домены	2.6 Рефлексия	Иллюзия завершённости	2.6.1	Поскольку все данные никогда не собраны, никакое решение не может быть принято	Рефлексия превращается в прокрастинацию: идеал полноты информации делает невозможным любое решение.	Бесконечное откладывание «до получения всех фактов»; требование идеального решения	2.6.1.4, 2.4.5	Достаточно ли информации для разумного решения?	Perfectionism, fear of error	Черновик	Paralysis of Analysis	3.5 (застревание перед Д5)
2.6.2.1	Dunning-Kruger Effect	Эффект Даннинга-Крюгера	2 - Домены	2.6 Рефлексия	Искажение самооценки	2.6.2	Когнитивное искажение, при котором люди с ограниченными знаниями переоценивают свои способности	Рефлексия дефектна: недостаточно знаний, чтобы оценить собственное незнание. «Я не знаю того, чего я не знаю» — и потому считаю, что знаю всё. Мета-невежество.	«Я знаю, что Вашингтон никогда не лгал, Линкольн освободил рабов — зачем мне курс истории? Я и так всё знаю!»	2.6.1, 2.6.4	Знаю ли я достаточно, чтобы оценить, сколько я не знаю?	Dunning-Kruger effect	Черновик	Dunning-Kruger Effect	
2.6.2.4	Sunk Cost Fallacy	Ошибка невозвратных затрат	2 - Домены	2.6 Рефлексия	Неспособность пересмотреть	2.6.2	Оправдание дальнейших инвестиций тем, что уже вложенные иначе будут потеряны	Рефлексия искажена: прошлые потери не должны влиять на оценку будущих решений.	«Не могу перестать играть — уже проиграл деньги на аренду, нужно отыграться!»	2.6.2, 2.6.1	Оправдано ли продолжение само по себе? Или только из-за вложенного?	Loss aversion, escalation of commitment	Черновик	Sunk Cost Fallacy	3.6 (блокировка возврата)
2.6.3.1	Argument from Inertia	Аргумент от инерции / «Продолжаем курс»	2 - Домены	2.6 Рефлексия	Влияние прошлых инвестиций	2.6.3	Необходимо продолжать ошибочный курс, потому что признать ошибку — значит обесценить все жертвы	Рефлексия блокируется sunk cost: прошлые инвестиции (усилия, жертвы, кровь) используются как аргумент против пересмотра решения. «Мы уже столько вложили» не является аргументом за правильность курса.	«Нельзя закрыть проект — иначе два года работы окажутся напрасными»	2.6.3, 2.3.5.4, 2.5.4.1	Является ли прошлая инвестиция аргументом за продолжение? Если бы я начинал сейчас, выбрал бы тот же курс?	Sunk cost fallacy, избегание когнитивного диссонанса	Черновик	Argument from Inertia	
2.6.3.2	Defensiveness	Защитная позиция / Предвзятость в пользу выбора	2 - Домены	2.6 Рефлексия	Влияние прошлых инвестиций	2.6.3	После принятия решения — автоматическая защита этого решения и иррациональное отвержение альтернатив	Рефлексия искажена прошлым выбором: раз решение принято, оно защищается независимо от новой информации. Признать ошибку = обесценить инвестицию.	«Да, я голосовал за Смита. Он оказался жуликом, но я всё равно считаю, что тогда он был лучше альтернатив!»	2.6.3.1, 4.1	Защищаю ли я своё решение потому, что оно правильное, или потому, что оно моё?	Когнитивный диссонанс, sunk cost	Черновик	Defensiveness	
2.6.4.1	Argument from Incredulity	Аргумент от недоверия	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Отвержение утверждения только потому, что оно кажется «невероятным» или противоречит личному опыту	Рефлексия отказывает в рассмотрении: «я не могу это представить» становится основанием не рассматривать аргумент вообще. Субъективная неспособность вообразить используется как щит от проверки.	Отмахивание от научного аргумента: «Это безумие!» — без рассмотрения по существу	2.3.5.2	Моя неспособность представить X — это свидетельство против X или отказ рассматривать?	Эвристика репрезентативности, ограниченность опыта	Черновик	Argument from Incredulity	
2.6.4.10	They're All Crooks	«Все они жулики»	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Отказ от участия в политике, потому что «все» коррумпированы	Рефлексия блокируется цинизмом: универсальное обвинение оправдывает бездействие. Круговая логика.	«Все таксисты обманывают — зачем спрашивать цену?»; «Все врачи в сговоре — зачем ходить?»	3.2, 2.6.4.3	Оправдывает ли несовершенство системы полный отказ?	Cynicism, learned helplessness	Черновик	They're All Crooks	
2.6.4.11	Third Person Effect	Эффект третьего лица	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Априорное игнорирование информации от экспертов, потому что «все они лгут»	Рефлексия блокируется сверх-цинизмом: «меня не проведёшь» = отказ от любой информации.	«Реклама действует на всех, кроме меня» — и потому смотрю без защиты	2.6.4.3, 2.4.1.3, 1.B.8.1	На чём основано убеждение, что все источники лгут?	Over-correction, reactance	Черновик	Third Person Effect	
2.6.4.12	Venting / Letting off Steam	«Просто выпустил пар»	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Слова освобождены от критики, потому что человек «просто выпускал пар»	Рефлексия блокируется: «я не это имел в виду» — хотя именно это и было сказано искренне.	«Я не всерьёз это сказал — просто сорвался»; «все так шутят»	Affective Fallacy, 2.2.1.6	Освобождает ли «выпуск пара» от ответственности?	Excuse-making, accountability avoidance	Черновик	Venting	
2.6.4.2	Calling 'Cards'	Разыгрывание «карт»	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Отклонение обоснованных возражений как «карт» в риторической игре	Рефлексия отказывает в рассмотрении: валидные возражения заранее дисквалифицируются как «приём» или «карта». Вместо ответа на аргумент — метаобвинение в манипуляции.	«Это ты давишь на жалость» — в ответ на реальную жалобу; обвинение в «карте» вместо разбора	2.6.4.1, 2.1.2.1	Рассмотрел ли я возражение по существу или отклонил его как «приём»?	Защита позиции, избегание неудобных аргументов	Черновик	Calling 'Cards'	
2.6.4.3	Deliberate Ignorance	Намеренное невежество / Закрытость	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Сознательный выбор не слушать, «отключаться» от любой информации, бросающей вызов убеждениям	Рефлексия активно блокируется: вместо рассмотрения контраргументов — отказ их воспринимать. «Не путай меня фактами, я уже всё решил!»	«Я не хочу это слышать!»; Три обезьяны: не вижу, не слышу, не говорю	2.6.4.1, 4.1	Избегаю ли я информации, которая может поставить под сомнение мои убеждения?	Избегание когнитивного диссонанса	Черновик	Deliberate Ignorance	
2.6.4.4	Finish the Job	«Закончить дело»	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Действие или позиция не могут быть поставлены под вопрос, потому что «есть работа, которую нужно сделать»	Рефлексия блокируется: сам факт «задачи» исключает её обсуждение. «Наше дело не рассуждать, наше дело — выполнять». Задача становится частью идентичности.	«Ours is not to reason why, ours is but to do or die»; «Это просто работа» — как оправдание	1.B.12, 2.6.3.1	Является ли «задача» основанием не задавать вопросов о ней?	Рабочая идентичность, избегание моральной ответственности	Черновик	Finish the Job	
2.6.4.5	Free Speech Fallacy	Ошибка свободы слова	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Ответ на критику: «Это свободная страна, я могу говорить что хочу!»	Рефлексия отклоняется: право говорить подменяет обоснованность сказанного. «Я имею право это сказать» ≠ «это правда». Свобода слова защищает от цензуры, не от критики.	«Я могу говорить что хочу!» — в ответ на просьбу обосновать	2.6.4, 2.1.2	Защищаю ли я своё право говорить или истинность того, что говорю?	Смешение права и правоты	Черновик	Free Speech Fallacy	
2.6.4.6	I Wish I Had a Magic Wand	«Если бы у меня была волшебная палочка»	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Ложное заявление о собственном бессилии изменить ситуацию, над которой есть контроль	Рефлексия блокируется ложной беспомощностью: «я ничего не могу сделать» закрывает обсуждение альтернатив. На самом деле власть есть.	«Что делать с расходами? Как директор, я бы хотел иметь волшебную палочку...»	TINA, 2.6.1.2	Действительно ли нет возможности влияния? Или это способ избежать ответственности?	Избегание ответственности, learned helplessness	Черновик	I Wish I Had a Magic Wand	
2.6.4.7	MYOB / Appeal to Privacy	«Не твоё дело» / Апелляция к приватности	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Прекращение обсуждения своих действий путём объявления их «личным делом»	Рефлексия блокируется ложной приватностью: критика отклоняется как вторжение в личное пространство.	«Да, я ехал 80 миль/час — тебе-то что? Ты не коп»; «Да, я нарушил регламент. И что? Не твоё дело»	2.6.4, Taboo	Является ли это частным делом или затрагивает других?	Избегание ответственности, defensive autonomy	Черновик	MYOB	
2.6.4.8	Non-Recognition	Непризнание	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Отказ признать очевидную реальность на том основании, что признание «наградило бы» злодеев	Рефлексия блокируется идеологией: факты не признаются, чтобы не «легитимизировать» врага. Реальность не исчезает от непризнания.	Фирма годами не называет конкурента по имени в отчётах — будто его нет	2.6.4.3, 2.1.3.5	Меняет ли непризнание реальность? Или только моё взаимодействие с ней?	Wishful thinking, идеологическая ригидность	Черновик	Non-Recognition	
2.6.4.9	Sending the Wrong Message	«Пошлёт неправильный сигнал»	2 - Домены	2.6 Рефлексия	Иммунизация от проверки	2.6.4	Атака на истинное утверждение, потому что оно «пошлёт неправильный сигнал»	Рефлексия блокируется: правда отвергается ради сохранения иллюзии. Признание, что истина разрушит ложь.	«Мы не знаем, как справиться, но признание пошлёт неправильный сигнал»	1.B.14, 2.6.4	Является ли «неправильный сигнал» причиной скрывать правду?	Image management, fear of truth	Черновик	Sending the Wrong Message	
3.2.1	A Priori Argument	Априорный аргумент / Рационализация / Догматизм	3 - Последовательность	3.2 Обратное движение	Рассуждение от вывода к посылкам	3.2	Начинают с заранее принятого вывода и ищут любые аргументы для его оправдания	Закон Порядка нарушен инверсией: вместо движения Д1→Д5 рассуждение идёт Д5→Д1. Вывод предшествует посылкам, посылки подбираются под вывод.	«Поскольку мы знаем, что наш прибор не ошибается, наша задача — объяснить, почему данные показывают иначе»	4.1, 2.1.3, 3.2.2	Был ли вывод сформирован ДО рассмотрения данных? Изменился бы вывод при других данных?	Confirmation bias, когнитивный диссонанс	Черновик	A Priori Argument	
3.2.2	Circular Reasoning	Круговое рассуждение / Порочный круг	3 - Последовательность	3.2 Обратное движение	Круговая зависимость посылок и вывода	3.2	A истинно из-за B, а B истинно из-за A; или вывод содержится в посылках	Нарушение последовательности: рассуждение возвращается к исходной точке. Вывод не следует из независимых посылок — он уже предполагается. Движение Д1→Д5 замкнуто в петлю.	«Ведьмы — самая серьёзная духовная угроза. Почему? Потому что ведьмы угрожают нашему спасению»	3.2.1, 2.2.4	Доказывает ли моя посылка вывод, или она сама предполагает вывод?	Иллюзия обоснованности	Черновик	Circular Reasoning	
3.3.1	Shifting the Burden of Proof	Перенос бремени доказательства	3 - Последовательность	3.3 Инверсия	Инверсия бремени	3.3	Требование от оппонента опровергнуть утверждение вместо самостоятельного доказательства	Нарушение последовательности: утверждающий должен доказывать. «Докажи, что не так» переворачивает логику.	«Инопланетяне среди нас! Докажите, что нет! Не можете? Значит, я прав!»	2.5.4.2, 3.2	Кто должен доказывать — утверждающий или сомневающийся?	Rhetorical trick, evasion	Черновик	Shifting the Burden of Proof	
4.1.1	Confirmation Bias	Предвзятость подтверждения	4 - Синдромы	4.x Синдром	Множественная локализация (Д1, Д3, Д4)	4.1	Склонность замечать, искать, отбирать и распространять только информацию, подтверждающую существующие убеждения	Синдром, проявляющийся в нескольких доменах: Д1 (фильтрация — видим подтверждающее), Д3 (выбор рамки под результат), Д4 (тенденциозное сравнение). Общая причина — желание определённого результата.	Если предсказали «встретишь высокого темноволосого незнакомца» — будешь высматривать таких и удивляться точности	2.1.3, 2.3.6, 3.2.1	Ищу ли я опровергающие данные с той же тщательностью, что и подтверждающие?	Confirmation bias (когнитивное искажение)	Черновик	Confirmation Bias	
4.1.2	Two Truths / Compartmentalization	Две истины / Компартментализация	4 - Синдромы	4.1 Когнитивный диссонанс	Стабильный диссонанс	4.1.2	Одна «истина» в одном контексте и противоречащая в другом — одновременно	Нарушение закона противоречия: A и не-A истинны в разных «отсеках». «Знаю, но не верю».	На экзамене отвечает по учебнику, в жизни действует наоборот — и разлада не замечает	Disciplinary Blinders, 1.B.8.2	Могут ли обе «истины» быть истинными одновременно?	Cognitive dissonance, motivated reasoning	Черновик	Two Truths	
4.1.3	Motivated Reasoning	Мотивированное рассуждение	4 - Синдромы	4.1 Когнитивный диссонанс	Системная рационализация	4.1.3	Систематическое искажение рассуждения в пользу желаемого вывода	Все домены искажаются в направлении подтверждения желаемого результата. Рационализация вместо рассуждения.	Инвестор находит причины держать убыточную акцию; болельщик находит судейский заговор в каждом матче	4.1.1, 4.1.2	Направлено ли рассуждение на поиск истины или на подтверждение желаемого?	Wishful thinking, self-deception	Черновик	Motivated Reasoning	
4.2.1	Echo Chamber	Эхо-камера	4 - Синдромы	4.2 Системное искажение	Самоподдерживающаяся система	4.2	Замкнутая информационная среда, где подтверждается только существующее мнение	Фильтрация данных (Д1) + выбор рамки (Д3) + отсутствие рефлексии (Д6) создают устойчивую систему.	Лента, собранная из одних единомышленников; клуб, где несогласных не осталось	4.1.1, 2.1.3, 2.6.4.3	Слышу ли я альтернативные точки зрения? Кто меня корректирует?	Filter bubble, groupthink	Черновик	Echo Chamber	
4.2.2	Cognitive Closure	Когнитивное закрытие	4 - Синдромы	4.2 Системное искажение	Системное закрытие	4.2	Потребность в определённости, ведущая к преждевременному закрытию от новой информации	Рефлексия (Д6) блокируется системно: любая неопределённость вызывает дискомфорт, закрытие — облегчение.	«Мне всё ясно, не путай меня фактами»; отказ пересматривать решения	2.6.4, 2.6.2	Готов ли я изменить мнение при новых данных?	Need for closure, intolerance of ambiguity	Черновик	Cognitive Closure	
4.2.3	Groupthink	Групповое мышление	4 - Синдромы	4.2 Системное искажение	Коллективное подавление	4.2	Коллективное подавление критического мышления ради консенсуса и гармонии	Социальное давление блокирует рефлексию (Д6) и искажает распознавание (Д1): несогласие = предательство.	Катастрофа Challenger; совет, единогласно одобривший провальный план, — сомневающиеся молчали	4.2.1, 1.B.12	Безопасно ли в этой группе высказывать несогласие?	Conformity, social pressure	Черновик	Groupthink	
1.A.7	Impossible Goal	Цель невозможного	1 - Условия	1.A Ошибки постановки	Требование невозможного ответа	1.A.7	Цель вопроса — то, что будет считаться ответом, — очерчивает невозможное: завершённый свод неограниченного процесса либо противоречивую категорию; ответ исключён самим вопросом	Порча цели: правило распознавания ответа требует объекта из слоя «быть не может» — завершённой тотальности там, где существует только процесс. Основание и направление целы, вопрос выглядит корректным, но не закрываем в принципе. Предсказан анатомией вопроса (цель · направление · основание) как третий род порчи цели — и найден.	«Назовите все простые числа» — простые даны процессом порождения, свода-объекта нет; корректная форма — «дайте процесс порождения». «Приведи полный список всего, чего ты не знаешь»	1.A.4, 1.A.5	Может ли требуемое целью существовать — хотя бы потенциально? Не требует ли вопрос завершённого свода там, где есть только процесс? Лечение — процессная переформулировка.	Подмена процесса завершённым объектом	Черновик	Impossible Goal	
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
